Sonnet,type,MD_m,MD_v,MD_r,Cusum_m,Cusum_v,Cusum_r,CD_m,CD_v,CD_r
86,novel,"3, 11, 13",9,3,12,6,2,3,3,3
87,novel,"1, 9, 10, 11, 14",11,8,13,14,11,11,13,11
88,shadow,"3, 5, 8, 11, 12",8,11,2,8,13,3,4,13
89,novel,10,11,11,12,10,10,10,9,9
90,novel,"2, 11",5,2,14,13,11,11,12,12
91,novel,13,3,7,14,3,14,13,13,13
92,novel,"2, 13",13,2,13,13,12,13,13,11
93,hybrid,"5, 6, 13",13,3,5,5,10,13,13,9
94,shadow,"8, 9",10,10,7,8,9,11,3,12
95,hybrid,"2, 4, 5, 7, 13",14,7,3,14,6,13,4,11
96,novel,"2, 7, 8, 9",13,2,12,13,9,7,13,13
97,hybrid,"2, 3, 5, 11, 12",7,2,7,14,2,12,3,13
98,novel,"2, 13",11,8,4,11,11,5,11,13
100,novel,"5, 10, 11",13,13,4,13,12,5,13,11
101,shadow,"3, 11, 13, 14",9,3,10,10,2,3,9,12
102,novel,"3, 5, 8",12,3,12,11,8,3,4,3
103,novel,"2, 4, 6, 7",9,5,14,8,12,12,9,12
104,hybrid,"4, 11, 12",10,10,3,14,6,4,12,12
105,novel,"1, 11, 12, 13, 14",3,13,13,6,5,13,3,3
106,hybrid,"2, 13, 14",3,9,12,5,12,10,3,9
107,shadow,"4, 7, 12, 13, 14",4,7,6,12,14,7,11,11
108,shadow,5,14,14,4,5,6,5,10,3
109,novel,"3, 11, 13, 14",5,12,2,5,4,3,3,3
110,shadow,7,9,5,4,13,3,7,12,5
111,novel,"2, 8",11,9,7,11,6,8,4,4
112,novel,"2, 3",14,14,2,14,13,3,11,4
113,novel,"1, 2, 3, 9, 12, 13",14,14,12,10,2,9,9,4
114,hybrid,"2, 3, 5, 6, 9",14,6,13,13,14,9,12,3
115,hybrid,11,10,10,14,9,7,11,13,4
116,novel,"5, 10, 11",12,8,4,13,14,5,3,12
117,novel,"1, 10, 11, 12, 13","12, 13",13,14,3,14,13,4,13
118,novel,"6, 12",14,5,8,14,12,6,3,3
119,hybrid,9,9,12,14,2,12,9,3,6
120,hybrid,"2, 13",6,7,14,8,14,13,11,11
121,hybrid,"9, 13",11,5,12,14,9,9,13,12
122,novel,"8, 9, 10",10,9,7,12,4,13,10,13
123,shadow,8,"5, 6",5,7,5,9,3,4,13
124,novel,"5, 8, 9",2,9,4,6,3,5,13,13
125,hybrid,"3, 4, 9, 13, 14",4,4,12,4,7,9,4,4
127,hybrid,"3, 4, 9, 10",14,8,3,13,12,13,3,5
128,novel,5,13,13,8,12,10,5,13,4
129,novel,"1, 11, 13",14,3,12,13,5,11,10,9
130,novel,5,7,7,4,13,3,5,7,13
131,shadow,"10, 13",8,3,9,8,14,3,8,3
132,novel,14,9,3,14,5,12,13,9,3
133,shadow,"10, 13",4,11,12,3,8,10,4,13
134,novel,"4, 5",12,4,4,12,5,5,12,11
135,novel,"3, 5, 6, 7, 8, 9","13, 14",8,4,13,3,9,13,13
136,hybrid,"10, 11, 12",13,8,9,5,12,3,3,13
137,novel,"3, 4",12,14,3,13,9,4,12,5
138,hybrid,"4, 5, 7, 11, 12, 13",2,2,4,14,14,7,13,11
139,shadow,"9, 13",14,3,12,14,14,9,13,3
140,hybrid,"1, 3, 5, 6, 7, 8, 9, 13",6,5,5,14,10,3,13,13
141,hybrid,"3, 5",14,14,4,14,13,13,3,12
142,novel,9,2,9,12,2,3,9,11,3
143,shadow,11,14,8,14,12,13,11,11,11
144,novel,4,12,4,3,11,12,4,4,4
145,shadow,"6, 12, 13",14,2,3,13,13,4,12,13
146,hybrid,9,11,1,14,11,10,9,13,8
147,novel,"5, 6, 13, 14",14,6,5,14,10,13,3,13
148,novel,"2, 5, 6, 7, 8, 11, 13",9,10,12,14,14,13,3,3
149,novel,"1, 2, 7, 13, 14",9,10,6,8,6,7,9,12
150,novel,"3, 5, 6, 7, 10, 11, 12, 13",10,10,4,10,10,13,13,13
151,novel,"2, 3, 9",11,14,10,6,13,9,3,8
152,hybrid,9,3,9,10,5,6,9,3,3
153,hybrid,"2, 3, 5, 7, 8, 10, 11, 14",10,14,13,6,13,11,8,11
154,novel,"5, 7, 8, 9, 10, 12, 14",5,6,8,14,12,13,13,12
